_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf4727ff8	ANIMAL CUTS – 42DOSES		PERTE DE POIDS	Fat Burner	Capsule	
68109e5ececd66abf4727ff9	ANIMAL STAK – 23PACKS		COMPLÉMENTS ALIMENTAIRES	Boosters Hormonaux		Pack
68109e5ececd66abf4727ffa	Tapis Roulant - JX FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4727ffb	Recumbent Exercise Bike		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4727ffc	Elliptical Trainer		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4727ffd	Exercise Spin Bike		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4727ffe	WHEY CORE 2KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727fff	GAINER MAX 3,8 KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4728000	GAINER MAX 7KG		PRISE DE MASSE	Gainers Riches en Protéines	Powder	Powder
68109e5ececd66abf4728001	MASS GAINER 1,5 KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4728002	Vita X 90 Tabs Multivitamines		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Tablet
68109e5ececd66abf4728003	100 ISOLATE		PROTÉINES	Isolat de Whey	Powder	Protein
68109e5ececd66abf4728004	PACK SECHE EXTREME		PROTÉINES	Isolat de Whey	Powder	Pack
68109e5ececd66abf4728005	CREA-M  500 GR PROACTIVE		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	
68109e5ececd66abf4728006	TXT10 HX NUTRITION		COMPLÉMENTS ALIMENTAIRES	Boosters Hormonaux		
68109e5ececd66abf4728007	CREA CORE 250G PROCELL		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf4728008	MASSIVE GAINER 7KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4728009	CREATINE MONOHYDRATE 500GR- HX NUTRITION		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	
68109e5ececd66abf472800a	OMEGA 3 - 90 SOFTGELS - ULTIMATE NUTRITION		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	
68109e5ececd66abf472800b	IRON MASS 20 IHS – 7KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
